talkNo,title,content,content_date,comment_date,comment_text
978054,만 26살 98년생 모은돈 7800만원..,냉정하게 어떰 대학은 나왔고 작년에 처음 독립했는데20대에 1억 모으기 진짜 어렵네….고졸인 애들은 돈 진짜 많겠다..,2025-01-28 19:08,2025-01-28 19:25,27살억 7800만원모앗으면마니모은거아닌가
978053,요즘 알바들 정말 무섭네요,"설이라서 오픈을 한시간늦게하는데 생지 발효때문에 시간 7시30분에 해달라고 두번이나 말했는데 이런사고을 치고 제가 잔소리 한번했다고 난리네요 저는 평소에 잔소리하기 싫어서 제가 거이 다하는편입니다 사장님도 맨날 알바들좀 시키고 잔소리좀해라 그래요 워낙 사장님도 까다로운편이라 왠만해서는 청소나등등 맘에 안들어하니 제가 하거든요 근데 이번에는 오전장사 못할뻔한 사고친 알바한테 한마디 했는데 뭐가 잘못인가요? 카페매니저는 처음이고 화장품쪽에서 매니저 5 년했어요 a가글쓴이 b알바a일요일 마감때 발효기시간 잘했나요?6시간후 답이없어서a일요일 마감때 6시30분에 발효하고 갔죠 월요일날 생지 말라서 연락왔어요 구워도 크기가 너무 작아서 월요일부터 8 시오픈 인거 알고 있었잖아요 문에도 써있고 저도말했는데 신경써주세요 오전 장사 망칠뻔했어요b폰이 꺼 져있어서 이제 봤습니다 오전 오픈인거 알고 있었는데 미처 생각을 못했습니다 근데 매니저님은 저한테 말한적 없는데요그리고 지금 말하는 방식이 좀 잘못된거 같습니다 감정적으로 말할 일은 아닌거 같은데 제가 쉬는날인 명절에 연락하면서 오전 장사 망칠뻔 했다고 말하는게 맞는거 같다고 생각하세요?저건 제가 잘못한거 맞고 죄송하게 생각합니다a제가 저저번주도 말했고 문에도 붙어있구요 감정적인게 아니고 잘못 됀거니 말하는거고 감정적인게 아니고 망칠뻔했으니 망친다고 말한거구요 저도 어제 쉬는날이라 아침에 전화로듣고 오늘 자세히 들어서 말은해야할꺼니 한거구요 글로 전달하니 오해한거같네요b매니저님은 잘 모르실수도 있지만 사람이 아무리 잘못했어도 쿠션어도 없이 말하는건 실례입니다 저걸 전화로 말하던 얼굴 보고 말했던 제 기분은 나빴을것 같습니다...제가 일부러 한것도 아니고 잘하려고 했는데 미처 생각하지 못한곳에서 실수한건 매니저님도 잘 알고 계실것 같다고 생각이 듭니다.. 솔직히 매니저님도 미처 생각 못해서 저한테 전달사항 없던거라는 생각이 들기도 했고요..그리고 ~하고 갔죠, 알고 있었잖아요, 망칠뻔 했어요 <<이런 말들은 피드백을 하고 말을 전한거라기보단 책임을 떠넘기고 무지성으로 비난하는걸로 밖에 안보여서 한 말 입니다글로 전달하다보니 생긴 오해가 아니라요^^..또 저도 책임감 있게 제 몫의 일은 열심히 하려고 하고 있는데 굳이 쉬는날인 명절에 이런 문자를 보내는건 좋지 않은 행동 같습니다만약 쉬는날에 문자하는걸 배려하면서 쿠션어가 있는 문자였으면 제가 오히려 너무 죄송하고 더 열심히 해야겠다는 생각이 들었을것 같다는 생각이 듭니다a제가 책임을 떠넘기고 비난한거라구요 쿠션어 실례 하 어이가 없네요 그냥 잘못 했을때는 죄송하다가 맞아요(이때는 좀 열받은상태)b명절에 일하는데 스트레스 드려서 죄송하고 제가 잘못한 일은 너무 죄송하게 생각합니다 월요일 오픈분한테 죄송하다고 전해주세요매니저님과 저는 앞으로 토요일마다 계속 마주쳐야 되니깐 오늘 할 말 있으시면 다 풀고 토요일에 웃는 얼굴로 봤으면 좋겠다는 바람이 있습니다..!",2025-01-28 19:04,2025-01-28 19:05,뭔소린지 모르겠네
978053,요즘 알바들 정말 무섭네요,"설이라서 오픈을 한시간늦게하는데 생지 발효때문에 시간 7시30분에 해달라고 두번이나 말했는데 이런사고을 치고 제가 잔소리 한번했다고 난리네요 저는 평소에 잔소리하기 싫어서 제가 거이 다하는편입니다 사장님도 맨날 알바들좀 시키고 잔소리좀해라 그래요 워낙 사장님도 까다로운편이라 왠만해서는 청소나등등 맘에 안들어하니 제가 하거든요 근데 이번에는 오전장사 못할뻔한 사고친 알바한테 한마디 했는데 뭐가 잘못인가요? 카페매니저는 처음이고 화장품쪽에서 매니저 5 년했어요 a가글쓴이 b알바a일요일 마감때 발효기시간 잘했나요?6시간후 답이없어서a일요일 마감때 6시30분에 발효하고 갔죠 월요일날 생지 말라서 연락왔어요 구워도 크기가 너무 작아서 월요일부터 8 시오픈 인거 알고 있었잖아요 문에도 써있고 저도말했는데 신경써주세요 오전 장사 망칠뻔했어요b폰이 꺼 져있어서 이제 봤습니다 오전 오픈인거 알고 있었는데 미처 생각을 못했습니다 근데 매니저님은 저한테 말한적 없는데요그리고 지금 말하는 방식이 좀 잘못된거 같습니다 감정적으로 말할 일은 아닌거 같은데 제가 쉬는날인 명절에 연락하면서 오전 장사 망칠뻔 했다고 말하는게 맞는거 같다고 생각하세요?저건 제가 잘못한거 맞고 죄송하게 생각합니다a제가 저저번주도 말했고 문에도 붙어있구요 감정적인게 아니고 잘못 됀거니 말하는거고 감정적인게 아니고 망칠뻔했으니 망친다고 말한거구요 저도 어제 쉬는날이라 아침에 전화로듣고 오늘 자세히 들어서 말은해야할꺼니 한거구요 글로 전달하니 오해한거같네요b매니저님은 잘 모르실수도 있지만 사람이 아무리 잘못했어도 쿠션어도 없이 말하는건 실례입니다 저걸 전화로 말하던 얼굴 보고 말했던 제 기분은 나빴을것 같습니다...제가 일부러 한것도 아니고 잘하려고 했는데 미처 생각하지 못한곳에서 실수한건 매니저님도 잘 알고 계실것 같다고 생각이 듭니다.. 솔직히 매니저님도 미처 생각 못해서 저한테 전달사항 없던거라는 생각이 들기도 했고요..그리고 ~하고 갔죠, 알고 있었잖아요, 망칠뻔 했어요 <<이런 말들은 피드백을 하고 말을 전한거라기보단 책임을 떠넘기고 무지성으로 비난하는걸로 밖에 안보여서 한 말 입니다글로 전달하다보니 생긴 오해가 아니라요^^..또 저도 책임감 있게 제 몫의 일은 열심히 하려고 하고 있는데 굳이 쉬는날인 명절에 이런 문자를 보내는건 좋지 않은 행동 같습니다만약 쉬는날에 문자하는걸 배려하면서 쿠션어가 있는 문자였으면 제가 오히려 너무 죄송하고 더 열심히 해야겠다는 생각이 들었을것 같다는 생각이 듭니다a제가 책임을 떠넘기고 비난한거라구요 쿠션어 실례 하 어이가 없네요 그냥 잘못 했을때는 죄송하다가 맞아요(이때는 좀 열받은상태)b명절에 일하는데 스트레스 드려서 죄송하고 제가 잘못한 일은 너무 죄송하게 생각합니다 월요일 오픈분한테 죄송하다고 전해주세요매니저님과 저는 앞으로 토요일마다 계속 마주쳐야 되니깐 오늘 할 말 있으시면 다 풀고 토요일에 웃는 얼굴로 봤으면 좋겠다는 바람이 있습니다..!",2025-01-28 19:04,2025-01-28 19:06,둘이 문자한 내용입니다 크로플집이구요
978051,매드포갈릭 ㅂㄷㅅㅎ,홀이든 주방이든 가지않는게좋음양쪽다 빌런한명씩은 있어서나중에 직원들자체가 바뀐다면모를까(이미 직원 바뀐지 아닌지는 모름)세줄요약1 빌런 몇잇음2 내가나간후에도 안고쳐짐3 사람이문제고 브랜드 는문제없음빌런 11 같잖은 개그안받아주면 지랄함2 다른알바나 직원들한태 회식강요 계속 끈질기게 물어보고안가면 존나 꼽주고 꺼지라면서 욕함3 실수하면 그것도 사람들 앞에서 몇일을 갈굼4 성희롱성 발언을 서슴치않음(여 실습생한테도 갑자기 모자를 벗어보라느니 +안물어보고 안궁금한 자기 19금 경험담 들려줌 등등)빌런2다른 알바들 투잡뛰면 스케쥴  안나와서 짜기힘드니까여기일만 하는게 맞다고 헌신하란듯이 사회초년생들 데리고  가스라이팅함그래놓고 고정스케쥴로 사전에 얘기해놔도맘대로 이상한 스케쥴넣고 안된다고하면 지랄발광함(예시:그냥 맘대로 스케쥴짠거면서  지가 신경써줘서 짜준거라 하고)자기가 좋아하는알바생한테만스캐쥴에 일할 시프트 더잘 할당해줌그래놓고 막상 시간 비워두라고한다른알바생 일주일에 하루 넣어주고이게 뭐하는짓임?거기 일했던사람들 한테 건너건너 들어보니아직도 지들보다 어린사람들괴롭히고있다고 전해듣기도해서사실 전에 여기에다가 비슷하게올린적있었는데 지점명을 추가한거뿐임여기그만두고 상담 다니고나는 다른일 급하게 하다가 또다치고해서화나서 씀사람이문제지 저 브랜드가문제는 아님,2025-01-28 18:52,2025-01-28 18:54,왜저러는거냐 에휴
978050,편의점도 보건증 필요해요?,궁금합니다.,2025-01-28 18:50,2025-01-28 18:52,편의점도 치킨 팔더라고요.. 보건증 필요할거같아요 안파는곳도 있지만
978045,독감걸려서,회사잘다니다가독감양성판정나옴회사에확인서보내고열나서4일못나가고아픈몸이끌고겨우  출근햇는데안쓰고싶다고얘기햇다는데제가물건도아니고진짜아프고싶어서아픈것도아니고확인서도냇고황당하기그지없고사람맞나싶네요...이런경우잇으신가요그만두는게낫겟지요,2025-01-28 18:06,2025-01-28 18:55,응원합니다..ㅠㅠ
978044,어제 저녁 눈 엄청 오던데,눈 엄청 쌓였겠지?화이트 설날이당근,2025-01-28 18:01,2025-01-28 18:04,"관종알토야, 너 ㅋㅋ 번듯한일자리도없어서 월세방에 알바나전전한다며? 명절에도 집에감히못가겟지?
쪽팔려서그러냐? ㅋㅋㅋ 너그렇게인생살아서뭐하냐, 
한강이답이제"
978044,어제 저녁 눈 엄청 오던데,눈 엄청 쌓였겠지?화이트 설날이당근,2025-01-28 18:01,2025-01-28 18:05,번듯하게 일 다니고 있거든??? 근데 거기 관두고 올영가려고 나의 올영..
978044,어제 저녁 눈 엄청 오던데,눈 엄청 쌓였겠지?화이트 설날이당근,2025-01-28 18:01,2025-01-28 18:07,"번듯한 일이라면? 노가다 ㅋㅋ
나이쳐먹고 무능력에 와꾸뭐같고, 그래서 간다는곳이 올영이냐?
인생막장이노,  ㅋㅋㅋ"
978044,어제 저녁 눈 엄청 오던데,눈 엄청 쌓였겠지?화이트 설날이당근,2025-01-28 18:01,2025-01-28 18:14,지금이라도 노가다 알아보렴
