Title,Contents,Date
온라인 지원,새벽에 온라인 지원은 좀 그런가요?...,2025-02-01
알바 주휴수당,"주 2일 일하고 하루에 9시간 일하는데, 시급 11000원 기준 한달에 주휴수당 포함하면 총 얼마 받는지 알 수 있을까요?정확한 금액으로 말해주세요..ㅠ",2025-02-01
쿠팡 파트,"쿠팡 지원하려고하는데허브, 입고, 포장, 반품 등등 뭐가 많더라고요뭐 다 힘들고 쉬운일은 없겠지만 뭐가 제일 빡세고 뭐가 그중에 제일 하기 괜찮은가요?예전에 마켓컬리인가 무슨 파트인진 모르겠는데 포장된 제품을 불 들어오는곳 바구니에 넣눈걸 했었는데 진짜 힘들었는데 이게 허브인가요?",2025-02-01
에이블리 어제공고뜬거,연락왔나요??전에 몇번갔었고어제 공고떴길래 지원했는데 아직 연락이 없네용ㅠ,2025-02-01
공공기관인데 콜센터직원은 정직원은 아님??,공공기간인 국민건강보험공단 대표번호 상담직원 구인인데... 이해가 안되는건 공단에서 직접 구인하는게 아니고 이름도 이상한 아웃소싱 컨설턴트같은 채용전문기업이래요 ... 그리고 같은 내용으로 다 다른곳에서 모집이 엄청 많이 올라와 있어요... 그럼 콜센터 용역같은 개념일까요? 보험공단에서 일해도 그쪽 직원은 아닌건가??? 그리고 보험료 문의 등 간단한 답변 업무라는데 왜 타이핑 속도거 중요한거죠?? 뭘 많이 써야하나요??15일 교육 평가후 합격자 최종 발표하고 15일간 3만원씩 지급한다는데 이 기간동안 실질적인 업무도 하나요?? 아니면 하루 8시간씩 15일 총 120시간 내내 업무에 대한 교육만 듣는건가요?? 중도 포기시 전액 미지급이라고 강조된거보면 많이들 포기한다는거 같은데... 3만원씩 일당주고 15일 일 시키기고 안뽑으면 그만이니까 회사입장에선 손해보는게 없을거 같은데요?? 혹시 해보신분.....??,2025-02-01
17살 알바고민,알바 지원했는데 점장님(?)들이 열람만 하고 연락을 안주세요 그럼 탈락한거죠..?돈이 너무 부족해서 알바를 하려는데 알바추천도 해주세요..,2025-02-01
올리브영 알바,올리브영 알바 학생도 써주나요..??ㅜㅜ 무경력 알바인데 알바 구하기가 너무 힘들어요 ㅜㅜ,2025-02-01
고깃집 알바 출근2번째에 담주 일본여행 간다고 말하기,사실 일본여행 면접 전부터 있던 일정이라 면접볼때 말씀 드렸어야 했는데 말씀을 못 드렸어요.사장님 입장에서도 당황스럽고 저도 너무 염치없는거 아는데 말씀은 드려야해서 문자 보내버렸는데 보니까 수습기간에 여행일정이 있으면 사장님입장에선 진짜 화도 나실거 같고 너무 죄송하네요..알바 오래할 생각이긴했는데 이런식으로 간다고 해버리면 사장님 입장에선 신뢰도 안되고 솔직히 쓰기 좀 힘들거 같다고 생각이들어서 그냥 그만둔다고 하는게 나을까요?,2025-02-01
무경력인데 알바 구하기 ㄹㅇ 힘들다,그나마 편의점에서 뽑아주나,2025-02-01
엄마가 좋은데 취직하지 말라고,때리는 엄마도 있나? 우리 엄마가 그랬는데나 여자거든?남자들은 니가 벌어서 취업하고 공부하란부모 봤어도 졸업하기 전부터 좋은 회사 가지 말라고 때리고 용돈 끊은건 본적이 없어,2025-02-01
