Title,Contents,Date
쿠팡 tw1 ㅡㅡ,개인메세지는 되는데; 마감 문자 안오길래 문의했더니 단체문자일 경우 발송되지 않는 경우가 있다고 함;;; 아이폰이고 mms설정해둠 ... 뭔데 sibakl 이러다 출확됐는데 무단되면 어쩔거? 자주 있는 일이면 좀 카톡으로 보내든지 해라;,2025-01-26
대구 일자리 폭망,"대구 일자리 없어서 대구 청년들이 대구를 떠나 타지역을 다니면서 돈벌고 있는 실정입니다.대구 시내 동성로 같은 경우 매장 폐업한곳 수두룩하며시내 라긴 보다 한동네에 가까운 느낌이 되었습니다공장이라곤 촌스럽고 구리한 3공단, 차없으면 다니기 엄청 불편한 꾸리한 성서공단이 전부이며 대구 샤니빵공장 후기평이 너무나도 안좋고 그나마 있는 국민알바 쿠팡 계약직 전혀 모집하지않고 있으며일용직 또한 반려 되기 일수 이죠매장 알바같은 경우 대구 특정상 촌시러우며 정다운 감시와 간섭+ 촌스러운 억양과 사나운 성향이 들어나서 들어가면 나오는 그런곳들이 엄청 많습니다 대구에 그나마 쿠팡물류센터가 그나마 집앞까지 버스가 와서 태우고 달고 해주지만 일이 엄청 힘들죠…(현재 계약직안구함)더 힘든 일을 찾아서 삼만리 낯선 타지로 돈벌러 대구 청년들이 타지로 향합니다",2025-01-26
탕화쿵푸 한남대점 일해보신분 있나요??,탕화쿵푸 한남대점 일해보신분 있나요??,2025-01-26
대학병원 약제부 보조,근무해보신분 계신가요하는 일이 구체적으로 어떤 것인지일의 강도가 어느 정도인지 궁금합니다주말근무는 따로 수당이있다던데 어느정도일지요?,2025-01-26
인천공항 브랜드팝업 알바 해보신분?,계신가요?? 어떤일 하는지 궁금해서요그냥 면세점쪽에서 안내하는 일일까요,2025-01-26
이천 지그재그 가지마세요,5일째 돈 못받는중입니다.상지업체이고 공고는 이름바까 올리는듯ㅈㅇㅇㅇㅊㅋㅍㄴ피해보지마시라구 계속 올려드립니다시비충은 가볍게 무시합니다,2025-01-26
온셀택 면접 불합격,온셀텍 공장 기숙사 운영되어서 면접 보러 타지역 사는데 천안까지 기차타고 면접 보러갔는데 합격 확정도 아닌데 어떤 여자는 캐리어에 짐싸들고 온 여자도 있더라공장 로비에는 노숙사 냄새로 아주 냄새가….면접 보러온 사람들은 20명 이상 이였던거 같아아주아주 난이도 높은 종이시험 치고 면접실에 가니 그곳에서도 노숙자 냄새가….무튼 면접 보고 문자로 불합격 통보 받았어백수인 내가 차비10만원이 너무 아깝고 추운날에 코트 자켓 입어서 독감까지 걸려서 옴 다시는 타지 공장에 내돈 들여서 면접 볼일은 없을거고돈낭비 시간낭비 면접도 깐깐한거 같네요 이상한 시험도 그렇고 면접관 태도도 마음에 안들어그리고 온셀텍 공장 평도 안좋던데 공장 중소기업이 이렇게 콧대가 높다니 놀랍네요 차라리 안된게 잘된 일인거 같아온셀텍 로비에서 본 아줌마들도 엄청 드세던데 ;;,2025-01-26
알바처에서 통장이랑 신분증 찍어달라는데,제가 비대면으로 개설한 입출금통장밖에 없거든요 이런 경우엔 어떻게 찍어야 하나요? 알바가 처음이라 잘 몰라요ㅜㅜ,2025-01-26
온누리상품권 환급 농축산 절대 다신안함,팀장인데 팀원들보다 일은 2배이상해야하는데일급은 비슷함 ㅋㅋㅋㅋㅋㅋㅋ장난치나 밤11시에도 카톡옴 하...,2025-01-26
쿠팡 쉬는 시간,코로나 전에 쿠팡 갔더니 쉬는시간 중간에 한 번 주고 계속 일 시켜서 다신 안갔음. (출고였음)근데 이번에 입고로 갔더니 작업층에 쉼터 만들어놓고 한두시간마다 10~15분 쉬어도 별말 없고 다들 그러는 분위기. 심지어 다른 파트로 간 친구는 중간에 쉬고 오라는 말도 들었다는데 다른 센터들도 이럼???이번에 간 센터가 집에서 너무 멀어서 다른 센터 지원해보고 싶은데 괜한 짓일까..?,2025-01-26
근로장려금은,해당자는 따로 문자가 와요?,2025-01-26
알바 하루하고 잘렸는데,전근무자가 다시 일하기로 했다면서 잘렸는데이거 제 탓인가요?사장님은 돈 줬는데 어쩌라고 식 느낌인데사장님이 이상한 사람 아닌가요?아니 내가 맘에 안 들었으면그냥 맘에 안 들었다고 할 것이지내가 일 못했냐니까 하루봐선 모르겠다네요?여기 일할라고 다른 곳 면접 다 안 갔는데겨우 여기 하루 일할라고 다른 곳 기회 다 버린 줄 아나;;안 그래도 요새 알바 자리도 없는데어휴 이 돈 그냥 다시 보내고 싶은데 그래도 되나,2025-01-26
이천2 쿠팡 요즘 확정 오나요?,방학이라 그런가 경쟁  치열해요,2025-01-26
근로장려금,"25년 2월까지 근무를 할 예정입니다.그럼 25년 근로장려금 상반기, 하반기 둘 다 못 받나요?아님 내년 거를 못 받는 건가요?",2025-01-26
홈택스 환금급 계좌 변경 후 지급일,안녕하세여 일주일 전에 오류로 지급할수없다구 환급계좌를 바꾸라고 문자와서 바로 바껏는데 이 돈은 언제쯤 들어올까요??,2025-01-26
온누리 팀장 3회차인데  긴 후기남김,1. 할때마다 느끼는거지만 책임 지어야할 사항이많고의무감이 높고 퇴근을 해도 퇴근을 하는게아니다.2. 팀원 잘못만나면 개고생한다3. 상인회가 천사면 수월 악마면 증오4. 잘생긴 남자들은 1도없당,2025-01-26
문자지원 읽씹경우,지원을 문자로 하래서 했는데읽씹당할경우그냥 참아?,2025-01-26
수호대 이메일 주소(질문),혹시 수호대 이메일 주소 아시는 분 계실까요?,2025-01-26
근로계약성 미작성 신고,취하할 방법 있어?신고해본 사람 후기좀삼자대면이 필요한 상황이야,2025-01-26
동탄쿠팡,동탄쿠팡. 낼부터 목요일까지확정왔으면좋겠어요,2025-01-26
알바 문자지원은 몇시까지 괜찮은가요,저녁7시~7시반은 늦은걸까요?,2025-01-26
사장님들 입장에서,알바공고 등록하면 지원자들 문자가마치 당근에서 10만원짜리를 5천원에 내놓은 것마냥미친듯이 쏟아지나요?;;,2025-01-26
온누리 농축산 환급 팀장하지마라,점심시간 없고 쉬는시간자체가 없음 진짜 개짜증남하루에 똑같은말 300번은 함목아파 죽겠다,2025-01-26
